Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
333, , , 748790.740, 8930597.060, 221.010, 748790.740, 8930597.060, 210.510, 0.140, 10.500, 0.600, 3.600, 0.000, 0.000, 0.0, 0.0, 0.000, 3746, db736745-f026-41c5-9782-442973b27656, 0.0, 126.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
334, , , 748789.500, 8930600.190, 220.510, 748789.500, 8930600.190, 209.510, 0.140, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3753, 97b55bcd-ed83-4b97-9674-37c4f60b7627, 0.0, 113.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
335, , , 748794.090, 8930596.580, 221.280, 748794.090, 8930596.580, 211.280, 0.140, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3783, fefbfa7b-2349-4b93-a97e-dd096376d167, 0.0, 118.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
336, , , 748795.330, 8930593.440, 221.040, 748795.330, 8930593.440, 210.540, 0.140, 10.500, 0.600, 3.600, 0.000, 0.000, 0.0, 0.0, 0.000, 3774, 600ddfd8-e773-4229-95dc-8aaa2f65e660, 0.0, 112.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
337, , , 748796.570, 8930590.310, 221.230, 748796.570, 8930590.310, 211.730, 0.140, 9.500, 0.600, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3765, a5e21003-d180-4fb8-a075-c67e8d75c5d5, 0.0, 86.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
364, , , 748798.660, 8930589.320, 221.360, 748798.660, 8930589.320, 210.360, 0.140, 11.000, 0.600, 4.200, 0.000, 0.000, 0.0, 0.0, 0.000, 3788, 064b1a31-2299-48a2-9e2d-fa89c36ec914, 0.0, 86.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
365, , , 748799.290, 8930592.170, 221.630, 748799.290, 8930592.170, 211.030, 0.140, 10.600, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3816, bad7d931-3357-40ad-89f5-c2d380c22596, 0.0, 116.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
366, , , 748801.370, 8930586.780, 220.980, 748801.370, 8930586.780, 209.680, 0.140, 11.300, 0.600, 4.000, 0.000, 0.000, 0.0, 0.0, 0.000, 3809, c76fa3e6-0953-4e33-a1d0-b84f46fce7ee, 0.0, 98.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
383, , , 748804.680, 8930584.460, 220.970, 748804.680, 8930584.460, 210.970, 0.140, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3828, 00713ba0-1036-43fc-adb5-b2916b649c89, 0.0, 85.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
384, , , 748802.600, 8930589.300, 221.000, 748802.600, 8930589.300, 211.000, 0.140, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3837, 5ccfc664-cc59-4580-94f8-652d60793de6, 0.0, 99.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
386, , , 748807.990, 8930582.150, 221.100, 748807.990, 8930582.150, 210.600, 0.140, 10.500, 0.600, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3856, 818e06ea-97c6-477d-ab56-d39d57710e50, 0.0, 72.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
400, , , 748813.790, 8930573.580, 221.100, 748813.790, 8930573.580, 210.600, 0.140, 10.500, 0.600, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3887, 5a1b1e23-b9e1-4e73-97ff-20fbdafc5b69, 0.0, 115.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
401, , , 748811.300, 8930579.840, 221.160, 748811.300, 8930579.840, 210.660, 0.140, 10.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3875, 4e27376f-933a-4954-b6d6-848eed7b2f2c, 0.0, 99.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
402, , , 748814.610, 8930577.530, 221.320, 748814.610, 8930577.530, 209.820, 0.140, 11.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3896, e07d5e46-475c-49f9-ac1d-a0bebf23f188, 0.0, 120.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
403, , , 748817.100, 8930571.260, 221.250, 748817.100, 8930571.260, 210.250, 0.140, 11.000, 0.600, 5.000, 0.000, 0.000, 0.0, 0.0, 0.000, 3910, 77c585aa-bd3b-459e-b4d8-d26bc949c0bd, 0.0, 95.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
410, , , 748830.350, 8930543.890, 220.480, 748830.350, 8930543.890, 209.480, 0.140, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 4022, 2a8b20cf-a114-46fd-a2f2-a1f6cd92ff2b, 0.0, 133.600, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
411, , , 748827.870, 8930550.160, 220.480, 748827.870, 8930550.160, 208.480, 0.140, 12.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 6.000, 3996, cfdfcc73-889c-4b05-8ed5-4d31e2619069, 0.0, 127.200, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
412, , , 748825.380, 8930556.420, 221.430, 748825.380, 8930556.420, 209.930, 0.140, 11.500, 0.600, 3.200, 0.000, 0.000, 0.0, 0.0, 0.000, 3973, 04b6c51c-1a96-46e7-bbd6-3e4f7e01a3b2, 0.0, 117.800, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
413, , , 748822.890, 8930562.690, 221.440, 748822.890, 8930562.690, 215.440, 0.140, 6.000, 0.600, 4.000, 0.000, 0.000, 0.0, 0.0, 0.000, 3952, 18dc1a55-04a7-499a-af33-e3fc56554d29, 0.0, 40.700, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
414, , , 748820.410, 8930568.950, 221.360, 748820.410, 8930568.950, 210.360, 0.140, 11.000, 0.600, 3.200, 0.000, 0.000, 0.0, 0.0, 0.000, 3940, 2d3dfe4a-a4d0-4bee-9185-feb433f811e3, 0.0, 123.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
415, , , 748817.920, 8930575.220, 221.130, 748817.920, 8930575.220, 215.130, 0.140, 6.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3919, 76a8e6fd-3863-468b-87d2-7ffbdc631e4c, 0.0, 37.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
416, , , 748821.230, 8930572.910, 221.010, 748821.230, 8930572.910, 211.010, 0.140, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3947, fa78bc87-aece-4f83-bfd0-7859f005b199, 0.0, 74.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
417, , , 748823.570, 8930570.000, 221.140, 748823.570, 8930570.000, 210.640, 0.140, 10.500, 0.600, 3.400, 0.000, 0.000, 0.0, 0.0, 0.000, 3968, bcae15c9-5093-4868-ba04-fd6ba599163d, 0.0, 126.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
418, , , 748823.720, 8930566.640, 221.300, 748823.720, 8930566.640, 210.300, 0.140, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3961, 23e17fb4-178b-425f-8b2e-e3d99c6a3517, 0.0, 135.900, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
419, , , 748826.210, 8930560.380, 221.430, 748826.210, 8930560.380, 210.430, 0.140, 11.000, 0.600, 3.300, 0.000, 0.000, 0.0, 0.0, 6.000, 3982, 68010229-147a-4352-91e2-557ce1273911, 0.0, 106.700, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
420, , , 748828.690, 8930554.110, 220.480, 748828.690, 8930554.110, 209.980, 0.140, 10.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 4005, 85d2785c-e672-4620-b07b-1a6a76f2ecea, 0.0, 158.200, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
